Country,Budget,Currency
PT,22,BGN
GR,22,BGN
KR,11,BGN
TW,22,BGN
PL,10,BGN
ZM,24,BGN
PR,24,BGN
CI,24,BGN
RO,20,BGN
BH,12,BGN
PA,24,BGN
GH,24,BGN
KH,24,BGN
SN,24,BGN
SA,12,BGN
RU,25,BGN
UG,24,BGN
BR,10,BGN
NI,24,BGN
MG,24,BGN
DO,24,BGN
MX,11,BGN
OM,12,BGN
CM,24,BGN
ZA,24,BGN
CL,24,BGN
KE,24,BGN
NP,24,BGN
PE,24,BGN
UA,24,BGN
MZ,24,BGN
TZ,24,BGN
AO,24,BGN
JO,12,BGN
ZW,24,BGN
TR,20,BGN
MU,24,BGN
SV,24,BGN
TH,11,BGN
CO,24,BGN
LK,24,BGN
CR,24,BGN
AR,12,BGN
MA,12,BGN
MY,24,BGN
KZ,24,BGN
DZ,12,BGN
ID,12,BGN
NG,24,BGN
GT,24,BGN
VN,10,BGN
BY,24,BGN
EG,12,BGN
UY,24,BGN
BD,24,BGN
PK,24,BGN
PH,24,BGN
ET,24,BGN
TN,12,BGN
LB,12,BGN
IN,10,BGN
PY,24,BGN
UZ,24,BGN
EC,24,BGN
MM,24,BGN
GE,24,BGN
US,104,BOB
CH,93,BOB
AU,93,BOB
GB,121,BOB
DE,121,BOB
DK,97,BOB
AT,83,BOB
NO,83,BOB
CA,97,BOB
NL,97,BOB
SE,97,BOB
IE,76,BOB
BE,76,BOB
FI,76,BOB
FR,97,BOB
NZ,83,BOB
HK,41,BOB
CZ,83,BOB
SK,76,BOB
AE,97,BOB
SG,97,BOB
IL,97,BOB
KW,45,BOB
IT,93,BOB
JP,121,BOB
ES,93,BOB
VE,93,BOB
HU,76,BOB
PT,83,BOB
GR,83,BOB
KR,41,BOB
TW,83,BOB
PL,38,BOB
ZM,93,BOB
PR,93,BOB
CI,93,BOB
RO,76,BOB
BH,45,BOB
PA,93,BOB
GH,93,BOB
KH,93,BOB
SN,93,BOB
SA,45,BOB
RU,97,BOB
UG,93,BOB
BR,38,BOB
NI,93,BOB
MG,93,BOB
DO,93,BOB
MX,41,BOB
OM,45,BOB
CM,93,BOB
ZA,93,BOB
CL,93,BOB
KE,93,BOB
NP,93,BOB
PE,93,BOB
UA,93,BOB
MZ,93,BOB
TZ,93,BOB
AO,93,BOB
JO,45,BOB
ZW,93,BOB
TR,76,BOB
MU,93,BOB
SV,93,BOB
TH,41,BOB
CO,93,BOB
LK,93,BOB
CR,93,BOB
AR,45,BOB
MA,45,BOB
MY,93,BOB
KZ,93,BOB
DZ,45,BOB
ID,45,BOB
NG,93,BOB
GT,93,BOB
VN,38,BOB
BY,93,BOB
EG,45,BOB
UY,93,BOB
BD,93,BOB
PK,93,BOB
PH,93,BOB
ET,93,BOB
TN,45,BOB
LB,45,BOB
IN,38,BOB
PY,93,BOB
UZ,93,BOB
EC,93,BOB
MM,93,BOB
GE,93,BOB
US,73,BRL
CH,66,BRL
AU,66,BRL
GB,86,BRL
DE,86,BRL
DK,69,BRL
AT,59,BRL
NO,59,BRL
CA,69,BRL
NL,69,BRL
SE,69,BRL
IE,54,BRL
BE,54,BRL
FI,54,BRL
FR,69,BRL
NZ,59,BRL
HK,29,BRL
CZ,59,BRL
SK,54,BRL
AE,69,BRL
SG,69,BRL
IL,69,BRL
KW,32,BRL
IT,66,BRL
JP,86,BRL
ES,66,BRL
VE,66,BRL
HU,54,BRL
PT,59,BRL
GR,59,BRL
KR,29,BRL
TW,59,BRL
PL,27,BRL
ZM,66,BRL
PR,66,BRL
CI,66,BRL
RO,54,BRL
BH,32,BRL
PA,66,BRL
GH,66,BRL
KH,66,BRL
SN,66,BRL
SA,32,BRL
RU,69,BRL
UG,66,BRL
BR,27,BRL
NI,66,BRL
MG,66,BRL
DO,66,BRL
MX,29,BRL
OM,32,BRL
CM,66,BRL
ZA,66,BRL
CL,66,BRL
KE,66,BRL
NP,66,BRL
PE,66,BRL
UA,66,BRL
MZ,66,BRL
TZ,66,BRL
AO,66,BRL
JO,32,BRL
ZW,66,BRL
TR,54,BRL
MU,66,BRL
SV,66,BRL
TH,29,BRL
CO,66,BRL
LK,66,BRL
CR,66,BRL
AR,32,BRL
MA,32,BRL
MY,66,BRL
KZ,66,BRL
DZ,32,BRL
ID,32,BRL
NG,66,BRL
GT,66,BRL
VN,27,BRL
BY,66,BRL
EG,32,BRL
UY,66,BRL
BD,66,BRL
PK,66,BRL
PH,66,BRL
ET,66,BRL
TN,32,BRL
LB,32,BRL
IN,27,BRL
PY,66,BRL
UZ,66,BRL
EC,66,BRL
MM,66,BRL
GE,66,BRL
US,21,CAD
CH,18,CAD
AU,18,CAD
GB,24,CAD
DE,24,CAD
DK,19,CAD
AT,16,CAD
NO,16,CAD
CA,19,CAD
NL,19,CAD
SE,19,CAD
IE,15,CAD
BE,15,CAD
FI,15,CAD
FR,19,CAD
NZ,16,CAD
HK,8,CAD
CZ,16,CAD
SK,15,CAD
AE,19,CAD
SG,19,CAD
IL,19,CAD
KW,9,CAD
IT,18,CAD
JP,24,CAD
ES,18,CAD
VE,18,CAD
HU,15,CAD
PT,16,CAD
GR,16,CAD
KR,8,CAD
TW,16,CAD
PL,8,CAD
ZM,18,CAD
PR,18,CAD
CI,18,CAD
RO,15,CAD
BH,9,CAD
PA,18,CAD
GH,18,CAD
KH,18,CAD
SN,18,CAD
SA,9,CAD
RU,19,CAD
UG,18,CAD
BR,8,CAD
NI,18,CAD
MG,18,CAD
DO,18,CAD
MX,8,CAD
OM,9,CAD
CM,18,CAD
ZA,18,CAD
CL,18,CAD
KE,18,CAD
NP,18,CAD
PE,18,CAD
UA,18,CAD
MZ,18,CAD
TZ,18,CAD
AO,18,CAD
JO,9,CAD
ZW,18,CAD
TR,15,CAD
MU,18,CAD
SV,18,CAD
TH,8,CAD
CO,18,CAD
LK,18,CAD
CR,18,CAD
AR,9,CAD
MA,9,CAD
MY,18,CAD
KZ,18,CAD
DZ,9,CAD
ID,9,CAD
NG,18,CAD
GT,18,CAD
VN,8,CAD
BY,18,CAD
EG,9,CAD
UY,18,CAD
BD,18,CAD
PK,18,CAD
PH,18,CAD
ET,18,CAD
TN,9,CAD
LB,9,CAD
IN,8,CAD
PY,18,CAD
UZ,18,CAD
EC,18,CAD
MM,18,CAD
GE,18,CAD
US,13,CHF
CH,12,CHF
AU,12,CHF
GB,15,CHF
DE,15,CHF
DK,12,CHF
AT,11,CHF
NO,11,CHF
CA,12,CHF
NL,12,CHF
SE,12,CHF
IE,10,CHF
BE,10,CHF
FI,10,CHF
FR,12,CHF
NZ,11,CHF
HK,5,CHF
CZ,11,CHF
SK,10,CHF
AE,12,CHF
SG,12,CHF
IL,12,CHF
KW,6,CHF
IT,12,CHF
JP,15,CHF
ES,12,CHF
VE,12,CHF
HU,10,CHF
PT,11,CHF
GR,11,CHF
KR,5,CHF
TW,11,CHF
PL,5,CHF
ZM,12,CHF
PR,12,CHF
CI,12,CHF
RO,10,CHF
BH,6,CHF
PA,12,CHF
GH,12,CHF
KH,12,CHF
SN,12,CHF
SA,6,CHF
RU,12,CHF
UG,12,CHF
BR,5,CHF
NI,12,CHF
MG,12,CHF
DO,12,CHF
MX,5,CHF
OM,6,CHF
CM,12,CHF
ZA,12,CHF
CL,12,CHF
KE,12,CHF
NP,12,CHF
PE,12,CHF
UA,12,CHF
MZ,12,CHF
TZ,12,CHF
AO,12,CHF
JO,6,CHF
ZW,12,CHF
TR,10,CHF
MU,12,CHF
SV,12,CHF
TH,5,CHF
CO,12,CHF
LK,12,CHF
CR,12,CHF
AR,6,CHF
MA,6,CHF
MY,12,CHF
KZ,12,CHF
DZ,6,CHF
ID,6,CHF
NG,12,CHF
GT,12,CHF
VN,5,CHF
BY,12,CHF
EG,6,CHF
UY,12,CHF
BD,12,CHF
PK,12,CHF
PH,12,CHF
ET,12,CHF
TN,6,CHF
LB,6,CHF
IN,5,CHF
PY,12,CHF
UZ,12,CHF
EC,12,CHF
MM,12,CHF
GE,12,CHF
US,13081,CLP
CH,11773,CLP
AU,11773,CLP
GB,15261,CLP
DE,15261,CLP
DK,12209,CLP
AT,10464,CLP
NO,10464,CLP
CA,12209,CLP
NL,12209,CLP
SE,12209,CLP
IE,9592,CLP
BE,9592,CLP
FI,9592,CLP
FR,12209,CLP
NZ,10464,CLP
HK,5232,CLP
CZ,10464,CLP
SK,9592,CLP
AE,12209,CLP
SG,12209,CLP
IL,12209,CLP
KW,5668,CLP
IT,11773,CLP
JP,15261,CLP
ES,11773,CLP
VE,11773,CLP
HU,9592,CLP
PT,10464,CLP
GR,10464,CLP
KR,5232,CLP
TW,10464,CLP
PL,4796,CLP
ZM,11773,CLP
PR,11773,CLP
CI,11773,CLP
RO,9592,CLP
BH,5668,CLP
PA,11773,CLP
GH,11773,CLP
KH,11773,CLP
SN,11773,CLP
SA,5668,CLP
RU,12209,CLP
UG,11773,CLP
BR,4796,CLP
NI,11773,CLP
MG,11773,CLP
DO,11773,CLP
MX,5232,CLP
OM,5668,CLP
CM,11773,CLP
ZA,11773,CLP
CL,11773,CLP
KE,11773,CLP
NP,11773,CLP
PE,11773,CLP
UA,11773,CLP
MZ,11773,CLP
TZ,11773,CLP
AO,11773,CLP
JO,5668,CLP
ZW,11773,CLP
TR,9592,CLP
MU,11773,CLP
SV,11773,CLP
TH,5232,CLP
CO,11773,CLP
LK,11773,CLP
CR,11773,CLP
AR,5668,CLP
MA,5668,CLP
MY,11773,CLP
KZ,11773,CLP
DZ,5668,CLP
ID,5668,CLP
NG,11773,CLP
GT,11773,CLP
VN,4796,CLP
BY,11773,CLP
EG,5668,CLP
UY,11773,CLP
BD,11773,CLP
PK,11773,CLP
PH,11773,CLP
ET,11773,CLP
TN,5668,CLP
LB,5668,CLP
IN,4796,CLP
PY,11773,CLP
UZ,11773,CLP
EC,11773,CLP
MM,11773,CLP
GE,11773,CLP
US,107,CNY
CH,97,CNY
AU,97,CNY
GB,125,CNY
DE,125,CNY
DK,100,CNY
AT,86,CNY
NO,86,CNY
CA,100,CNY
NL,100,CNY
SE,100,CNY
IE,79,CNY
BE,79,CNY
FI,79,CNY
FR,100,CNY
NZ,86,CNY
HK,43,CNY
CZ,86,CNY
SK,79,CNY
AE,100,CNY
SG,100,CNY
IL,100,CNY
KW,47,CNY
IT,97,CNY
JP,125,CNY
ES,97,CNY
VE,97,CNY
HU,79,CNY
PT,86,CNY
GR,86,CNY
KR,43,CNY
TW,86,CNY
PL,39,CNY
ZM,97,CNY
PR,97,CNY
CI,97,CNY
RO,79,CNY
BH,47,CNY
PA,97,CNY
GH,97,CNY
KH,97,CNY
SN,97,CNY
SA,47,CNY
RU,100,CNY
UG,97,CNY
BR,39,CNY
NI,97,CNY
MG,97,CNY
DO,97,CNY
MX,43,CNY
OM,47,CNY
CM,97,CNY
ZA,97,CNY
CL,97,CNY
KE,97,CNY
NP,97,CNY
PE,97,CNY
UA,97,CNY
MZ,97,CNY
TZ,97,CNY
AO,97,CNY
JO,47,CNY
ZW,97,CNY
TR,79,CNY
MU,97,CNY
SV,97,CNY
TH,43,CNY
CO,97,CNY
LK,97,CNY
CR,97,CNY
AR,47,CNY
MA,47,CNY
MY,97,CNY
KZ,97,CNY
DZ,47,CNY
ID,47,CNY
NG,97,CNY
GT,97,CNY
VN,39,CNY
BY,97,CNY
EG,47,CNY
UY,97,CNY
BD,97,CNY
PK,97,CNY
PH,97,CNY
ET,97,CNY
TN,47,CNY
LB,47,CNY
IN,39,CNY
PY,97,CNY
UZ,97,CNY
EC,97,CNY
MM,97,CNY
GE,97,CNY
US,61099,COP
CH,54989,COP
AU,54989,COP
GB,71282,COP
DE,71282,COP
DK,57026,COP
AT,48879,COP
NO,48879,COP
CA,57026,COP
NL,57026,COP
SE,57026,COP
IE,44806,COP
BE,44806,COP
FI,44806,COP
FR,57026,COP
NZ,48879,COP
HK,24440,COP
CZ,48879,COP
SK,44806,COP
AE,57026,COP
SG,57026,COP
IL,57026,COP
KW,26476,COP
IT,54989,COP
JP,71282,COP
ES,54989,COP
VE,54989,COP
HU,44806,COP
PT,48879,COP
GR,48879,COP
KR,24440,COP
TW,48879,COP
PL,22403,COP
ZM,54989,COP
PR,54989,COP
CI,54989,COP
RO,44806,COP
BH,26476,COP
PA,54989,COP
GH,54989,COP
KH,54989,COP
SN,54989,COP
SA,26476,COP
RU,57026,COP
UG,54989,COP
BR,22403,COP
NI,54989,COP
MG,54989,COP
DO,54989,COP
MX,24440,COP
OM,26476,COP
CM,54989,COP
ZA,54989,COP
CL,54989,COP
KE,54989,COP
NP,54989,COP
PE,54989,COP
UA,54989,COP
MZ,54989,COP
TZ,54989,COP
AO,54989,COP
JO,26476,COP
ZW,54989,COP
TR,44806,COP
MU,54989,COP
SV,54989,COP
TH,24440,COP
CO,54989,COP
LK,54989,COP
CR,54989,COP
AR,26476,COP
MA,26476,COP
MY,54989,COP
KZ,54989,COP
DZ,26476,COP
ID,26476,COP
NG,54989,COP
GT,54989,COP
VN,22403,COP
BY,54989,COP
EG,26476,COP
UY,54989,COP
BD,54989,COP
PK,54989,COP
PH,54989,COP
ET,54989,COP
TN,26476,COP
LB,26476,COP
IN,22403,COP
PY,54989,COP
UZ,54989,COP
EC,54989,COP
MM,54989,COP
GE,54989,COP
US,337,CZK
CH,303,CZK
AU,303,CZK
GB,393,CZK
DE,393,CZK
DK,314,CZK
AT,269,CZK
NO,269,CZK
CA,314,CZK
NL,314,CZK
SE,314,CZK
IE,247,CZK
BE,247,CZK
FI,247,CZK
FR,314,CZK
NZ,269,CZK
HK,135,CZK
CZ,269,CZK
SK,247,CZK
AE,314,CZK
SG,314,CZK
IL,314,CZK
KW,146,CZK
IT,303,CZK
JP,393,CZK
ES,303,CZK
VE,303,CZK
HU,247,CZK
PT,269,CZK
GR,269,CZK
KR,135,CZK
TW,269,CZK
PL,124,CZK
ZM,303,CZK
PR,303,CZK
CI,303,CZK
RO,247,CZK
BH,146,CZK
PA,303,CZK
GH,303,CZK
KH,303,CZK
SN,303,CZK
SA,146,CZK
RU,314,CZK
UG,303,CZK
BR,124,CZK
NI,303,CZK
MG,303,CZK
DO,303,CZK
MX,135,CZK
OM,146,CZK
CM,303,CZK
ZA,303,CZK
CL,303,CZK
KE,303,CZK
NP,303,CZK
PE,303,CZK
UA,303,CZK
MZ,303,CZK
TZ,303,CZK
AO,303,CZK
JO,146,CZK
ZW,303,CZK
TR,247,CZK
MU,303,CZK
SV,303,CZK
TH,135,CZK
CO,303,CZK
LK,303,CZK
CR,303,CZK
AR,146,CZK
MA,146,CZK
MY,303,CZK
KZ,303,CZK
DZ,146,CZK
ID,146,CZK
NG,303,CZK
GT,303,CZK
VN,124,CZK
BY,303,CZK
EG,146,CZK
UY,303,CZK
BD,303,CZK
PK,303,CZK
PH,303,CZK
ET,303,CZK
TN,146,CZK
LB,146,CZK
IN,124,CZK
PY,303,CZK
UZ,303,CZK
EC,303,CZK
MM,303,CZK
GE,303,CZK
US,103,DKK
CH,92,DKK
AU,92,DKK
GB,120,DKK
DE,120,DKK
DK,96,DKK
AT,82,DKK
NO,82,DKK
CA,96,DKK
NL,96,DKK
SE,96,DKK
IE,75,DKK
BE,75,DKK
FI,75,DKK
FR,96,DKK
NZ,82,DKK
HK,41,DKK
CZ,82,DKK
SK,75,DKK
AE,96,DKK
SG,96,DKK
IL,96,DKK
KW,45,DKK
IT,92,DKK
JP,120,DKK
ES,92,DKK
VE,92,DKK
HU,75,DKK
PT,82,DKK
GR,82,DKK
KR,41,DKK
TW,82,DKK
PL,38,DKK
ZM,92,DKK
PR,92,DKK
CI,92,DKK
RO,75,DKK
BH,45,DKK
PA,92,DKK
GH,92,DKK
KH,92,DKK
SN,92,DKK
SA,45,DKK
RU,96,DKK
UG,92,DKK
BR,38,DKK
NI,92,DKK
MG,92,DKK
DO,92,DKK
MX,41,DKK
OM,45,DKK
CM,92,DKK
ZA,92,DKK
CL,92,DKK
KE,92,DKK
NP,92,DKK
PE,92,DKK
UA,92,DKK
MZ,92,DKK
TZ,92,DKK
AO,92,DKK
JO,45,DKK
ZW,92,DKK
TR,75,DKK
MU,92,DKK
SV,92,DKK
TH,41,DKK
CO,92,DKK
LK,92,DKK
CR,92,DKK
AR,45,DKK
MA,45,DKK
MY,92,DKK
KZ,92,DKK
DZ,45,DKK
ID,45,DKK
NG,92,DKK
GT,92,DKK
VN,38,DKK
BY,92,DKK
EG,45,DKK
UY,92,DKK
BD,92,DKK
PK,92,DKK
PH,92,DKK
ET,92,DKK
TN,45,DKK
LB,45,DKK
IN,38,DKK
PY,92,DKK
UZ,92,DKK
EC,92,DKK
MM,92,DKK
GE,92,DKK
US,463,EGP
CH,417,EGP
AU,417,EGP
GB,541,EGP
DE,541,EGP
DK,433,EGP
AT,371,EGP
NO,371,EGP
CA,433,EGP
NL,433,EGP
SE,433,EGP
IE,340,EGP
BE,340,EGP
FI,340,EGP
FR,433,EGP
NZ,371,EGP
HK,185,EGP
CZ,371,EGP
SK,340,EGP
AE,433,EGP
SG,433,EGP
IL,433,EGP
KW,201,EGP
IT,417,EGP
JP,541,EGP
ES,417,EGP
VE,417,EGP
HU,340,EGP
PT,371,EGP
GR,371,EGP
KR,185,EGP
TW,371,EGP
PL,170,EGP
ZM,417,EGP
PR,417,EGP
CI,417,EGP
RO,340,EGP
BH,201,EGP
PA,417,EGP
GH,417,EGP
KH,417,EGP
SN,417,EGP
SA,201,EGP
RU,433,EGP
UG,417,EGP
BR,170,EGP
NI,417,EGP
MG,417,EGP
DO,417,EGP
MX,185,EGP
OM,201,EGP
CM,417,EGP
ZA,417,EGP
CL,417,EGP
KE,417,EGP
NP,417,EGP
PE,417,EGP
UA,417,EGP
MZ,417,EGP
TZ,417,EGP
AO,417,EGP
JO,201,EGP
ZW,417,EGP
TR,340,EGP
MU,417,EGP
SV,417,EGP
TH,185,EGP
CO,417,EGP
LK,417,EGP
CR,417,EGP
AR,201,EGP
MA,201,EGP
MY,417,EGP
KZ,417,EGP
DZ,201,EGP
ID,201,EGP
NG,417,EGP
GT,417,EGP
VN,170,EGP
BY,417,EGP
EG,201,EGP
UY,417,EGP
BD,417,EGP
PK,417,EGP
PH,417,EGP
ET,417,EGP
TN,201,EGP
LB,201,EGP
IN,170,EGP
PY,417,EGP
UZ,417,EGP
EC,417,EGP
MM,417,EGP
GE,417,EGP
US,14,EUR
CH,12,EUR
AU,12,EUR
GB,16,EUR
DE,16,EUR
DK,13,EUR
AT,11,EUR
NO,11,EUR
CA,13,EUR
NL,13,EUR
SE,13,EUR
IE,10,EUR
BE,10,EUR
FI,10,EUR
FR,13,EUR
NZ,11,EUR
HK,6,EUR
CZ,11,EUR
SK,10,EUR
AE,13,EUR
SG,13,EUR
IL,13,EUR
KW,6,EUR
IT,12,EUR
JP,16,EUR
ES,12,EUR
VE,12,EUR
HU,10,EUR
PT,11,EUR
GR,11,EUR
KR,6,EUR
TW,11,EUR
PL,5,EUR
ZM,12,EUR
PR,12,EUR
CI,12,EUR
RO,10,EUR
BH,6,EUR
PA,12,EUR
GH,12,EUR
KH,12,EUR
SN,12,EUR
SA,6,EUR
RU,13,EUR
UG,12,EUR
BR,5,EUR
NI,12,EUR
MG,12,EUR
DO,12,EUR
MX,6,EUR
OM,6,EUR
CM,12,EUR
ZA,12,EUR
CL,12,EUR
KE,12,EUR
NP,12,EUR
PE,12,EUR
UA,12,EUR
MZ,12,EUR
TZ,12,EUR
AO,12,EUR
JO,6,EUR
ZW,12,EUR
TR,10,EUR
MU,12,EUR
SV,12,EUR
TH,6,EUR
CO,12,EUR
LK,12,EUR
CR,12,EUR
AR,6,EUR
MA,6,EUR
MY,12,EUR
KZ,12,EUR
DZ,6,EUR
ID,6,EUR
NG,12,EUR
GT,12,EUR
VN,5,EUR
BY,12,EUR
EG,6,EUR
UY,12,EUR
BD,12,EUR
PK,12,EUR
PH,12,EUR
ET,12,EUR
TN,6,EUR
LB,6,EUR
IN,5,EUR
PY,12,EUR
UZ,12,EUR
EC,12,EUR
MM,12,EUR
GE,12,EUR
US,12,GBP
CH,11,GBP
AU,11,GBP
GB,14,GBP
DE,14,GBP
DK,11,GBP
AT,10,GBP
NO,10,GBP
CA,11,GBP
NL,11,GBP
SE,11,GBP
IE,9,GBP
BE,9,GBP
FI,9,GBP
FR,11,GBP
NZ,10,GBP
HK,5,GBP
CZ,10,GBP
SK,9,GBP
AE,11,GBP
SG,11,GBP
IL,11,GBP
KW,5,GBP
IT,11,GBP
JP,14,GBP
ES,11,GBP
VE,11,GBP
HU,9,GBP
PT,10,GBP
GR,10,GBP
KR,5,GBP
TW,10,GBP
PL,4,GBP
ZM,11,GBP
PR,11,GBP
CI,11,GBP
RO,9,GBP
BH,5,GBP
PA,11,GBP
GH,11,GBP
KH,11,GBP
SN,11,GBP
SA,5,GBP
RU,11,GBP
UG,11,GBP
BR,4,GBP
NI,11,GBP
MG,11,GBP
DO,11,GBP
MX,5,GBP
OM,5,GBP
CM,11,GBP
ZA,11,GBP
CL,11,GBP
KE,11,GBP
NP,11,GBP
PE,11,GBP
UA,11,GBP
MZ,11,GBP
TZ,11,GBP
AO,11,GBP
JO,5,GBP
ZW,11,GBP
TR,9,GBP
MU,11,GBP
SV,11,GBP
TH,5,GBP
CO,11,GBP
LK,11,GBP
CR,11,GBP
AR,5,GBP
MA,5,GBP
MY,11,GBP
KZ,11,GBP
DZ,5,GBP
ID,5,GBP
NG,11,GBP
GT,11,GBP
VN,4,GBP
BY,11,GBP
EG,5,GBP
UY,11,GBP
BD,11,GBP
PK,11,GBP
PH,11,GBP
ET,11,GBP
TN,5,GBP
LB,5,GBP
IN,4,GBP
PY,11,GBP
UZ,11,GBP
EC,11,GBP
MM,11,GBP
GE,11,GBP
US,117,HKD
CH,105,HKD
AU,105,HKD
GB,136,HKD
DE,136,HKD
DK,109,HKD
AT,94,HKD
NO,94,HKD
CA,109,HKD
NL,109,HKD
SE,109,HKD
IE,86,HKD
BE,86,HKD
FI,86,HKD
FR,109,HKD
NZ,94,HKD
HK,47,HKD
CZ,94,HKD
SK,86,HKD
AE,109,HKD
SG,109,HKD
IL,109,HKD
